SquareFeet;Bedrooms;Bathrooms;Parking garage;Neighborhood;YearBuilt;Price
2126;4;1;1;Rural;1969;2,15355E+16
2459;3;2;3;Rural;1980;1,95014E+16
1860;2;1;3;Suburb;1970;3,06891E+15
2294;2;1;1;Urban;1996;2,06787E+16
2130;5;2;3;Suburb;2001;2,72436E+14
2095;2;3;3;Suburb;2020;1,98209E+16
2724;2;1;1;Suburb;1993;3,43429E+15
2044;4;3;3;Rural;1957;1,84992E+14
2638;4;3;2;Urban;1959;3,77999E+16
1121;5;2;2;Urban;2004;9,59619E+15
1466;5;3;2;Suburb;1951;1,91114E+16
2238;3;3;1;Suburb;1987;2,53359E+16
1330;2;2;1;Suburb;1992;1,32172E+15
2482;4;3;1;Suburb;1989;2,31157E+16
1087;4;1;2;Urban;1976;1,18394E+16
2396;2;2;3;Suburb;1993;2,67377E+15
2123;5;2;2;Rural;1956;1,90773E+16
1871;4;2;2;Suburb;1977;1,7299E+16
2687;5;1;3;Urban;1979;2,39223E+16
1130;4;3;1;Rural;1962;1,4305E+16
2685;4;3;3;Urban;1999;4,05524E+16
2332;3;3;3;Rural;1978;2,63954E+16
1769;4;1;3;Suburb;1963;1,48311E+16
1343;2;3;1;Rural;2013;1,51734E+16
2515;2;3;3;Urban;2013;3,07961E+16
2437;2;1;2;Rural;2004;2,76163E+16
1805;5;1;1;Rural;2002;2,43985E+15
1385;4;3;1;Rural;1996;8,80305E+15
2215;5;1;3;Urban;1952;2,82909E+16
1955;3;1;1;Rural;2014;2,40977E+16
1276;4;1;1;Rural;1965;1,04747E+16
2184;2;2;3;Suburb;1959;3,47207E+16
1459;3;2;1;Rural;2006;7,74939E+14
2337;3;3;2;Suburb;2008;3,31851E+15
1021;4;3;3;Rural;2013;1,10409E+16
1252;2;1;3;Urban;1993;1,27933E+16
1747;5;3;3;Rural;1982;2,28683E+16
1856;4;2;3;Rural;1959;1,24712E+16
2584;2;3;1;Suburb;2001;4,15851E+16
1474;3;3;1;Urban;1959;1,8482E+16
